status,product,area,update_dt,product_time,affiliation,factory_name,source,datadate
检查,120（常减压）,东北,2018-05-31 16:55:12,5月25日-6月25日,中石化,辽河石化,http://oil.chem99.com/news/24831558.html,2017-05-18
停工,30,山东,2018-05-31 16:55:15,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/26359105.html,2017-10-26
检修,60,河北,2018-05-31 16:55:15,10月初-11月初,地炼,鑫海石化,http://oil.chem99.com/news/26359105.html,2017-10-26
停工,30,广东,2018-05-31 16:55:15,10月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/26359105.html,2017-10-26
检修,60,江苏,2018-05-31 16:55:15,11月上旬-12月中旬,中海油,泰州石化,http://oil.chem99.com/news/26359105.html,2017-10-26
检修,70,河北,2018-05-31 16:55:15,检修推迟至2018年,中油,秦皇岛,http://oil.chem99.com/news/26359105.html,2017-10-26
,,华南,2018-05-31 16:55:17,,,,http://oil.chem99.com/news/27176834.html,2018-01-18
,,华东,2018-05-31 16:55:17,,,,http://oil.chem99.com/news/27176834.html,2018-01-18
,,山东,2018-05-31 16:55:17,,,,http://oil.chem99.com/news/27176834.html,2018-01-18
,,东北,2018-05-31 16:55:18,,,,http://oil.chem99.com/news/27176834.html,2018-01-18
,,西北,2018-05-31 16:55:18,,,,http://oil.chem99.com/news/27176834.html,2018-01-18
